Geneid	length	WT_Pmm2_5_4	WT_Pmm2_5_3	WT_Pmm2_5_2	Mutant_Pmm2_5_5	Mutant_Pmm2_5_2	Mutant_Pmm2_5_4	Mutant_Pmm2_5_1	Mutant_Pmm2_5_3
slc5a3a	2016	91	135	9	36	40	4	2	49
oxgr1a.1	1287	57	170	12	38	36	3	0	58
oxgr1a.3	990	62	79	12	54	8	4	0	0
oxgr1a.2	1017	53	100	19	37	10	13	2	24
mbnl2	5862	632	1008	9725	8409	3877	730	1900	4171
rap2ab	552	43	73	307	323	142	21	104	80
kpnb3	4156	538	1150	6660	6538	2914	802	1510	5109
farp1	5695	516	912	4590	3003	1427	457	917	1672
si:ch211-235f1.3	6830	11	67	5	10	5	0	1	0
ggact.3	1758	1	0	0	0	0	0	0	0
ggact.2	2176	0	0	0	0	0	0	0	0
ggact.1	1724	8	4	20	0	1	0	0	0
gpc6a	2431	238	430	1098	1206	612	110	311	235
LOC110439758	1539	16	54	1	0	28	0	2	0
gpc5a	1635	144	357	341	295	168	49	110	131
mir92a-1	85	6	26	77	11	13	3	4	1
mir19b	87	0	0	0	0	16	0	0	0
mir20a	153	4	10	0	0	0	0	5	0
mir19a	89	22	27	346	266	91	30	70	222
mir18a	83	10	3	75	66	49	4	5	242
mir17a-1	138	0	5	23	6	73	2	8	79
LOC103910100	1239	76	292	57	32	46	0	11	0
slitrk6	3890	216	362	1337	1667	530	204	325	480
LOC101887188	1705	38	110	52	0	1	4	2	0
slitrk1	5295	383	703	2437	1964	1083	238	638	456
LOC101882161	671	10	53	9	0	0	1	0	0
LOC103911774	1169	33	139	14	0	18	0	1	34
spry2	2336	164	286	2473	2162	1018	281	732	831
ndfip2	5307	382	751	5066	4655	2334	527	1075	1945
tuba8l2	1608	291	305	7266	8365	4112	1171	2031	2918
stk16	1645	135	299	495	611	284	69	150	259
mnx2b	1152	96	179	242	364	118	22	42	112
atic	1958	205	456	1272	967	442	113	215	151
fn1b	8543	1408	1427	34479	29566	14734	4259	4908	14722
cpo	1162	102	273	429	443	312	69	68	339
nrp2a	6341	474	1160	4123	3229	1670	415	829	945
pard3ba	8333	598	1689	2352	1946	1407	277	446	1220
abcb6a	5248	281	790	466	757	262	93	128	529
cnppd1	2347	250	437	2299	2316	1088	367	651	979
prkag3a	1721	131	376	141	201	110	24	56	112
retreg2	2389	227	418	1301	1233	700	154	392	498
mdh1b	1678	110	247	91	89	44	17	24	23
fastkd2	2355	174	478	752	965	595	129	200	251
gtf3c3	2932	305	640	634	542	436	63	147	541
hecw2b	6797	652	1209	4182	3073	1410	377	1023	1563
klf7a	2949	214	439	1181	931	400	100	255	325
si:ch211-93g23.2	1387	106	202	401	383	109	19	47	157
ube2f	2387	174	488	1257	940	433	121	153	882
erbb4a	4178	388	1041	881	629	371	93	185	496
LOC108184914	4616	69	68	0	0	7	0	0	0
si:ch73-383l1.1	8432	650	1469	1940	1565	834	216	448	559
lancl1	2191	161	329	537	536	291	42	110	51
mylz3	965	5835	446	306838	243002	91700	39545	71895	61931
pcnp	1193	43	142	930	605	326	56	149	290
mxa	2677	111	342	60	213	111	27	29	53
mxb	2263	71	340	61	81	8	3	8	190
efnb2b	1005	58	147	183	107	107	21	31	27
arglu1b	1861	200	349	3071	1748	1618	195	559	1065
en1b	1693	105	232	735	572	179	48	127	174
radil	4534	392	688	810	575	181	52	207	251
wu:fc47e11	617	12	129	89	0	21	0	15	3
si:dkey-79f11.10	2835	154	454	40	127	40	12	19	128
si:dkey-79f11.9	1317	25	112	3	0	1	0	0	0
si:dkey-79f11.7	3228	132	456	249	346	194	34	57	314
si:dkey-79f11.5	1533	72	194	29	128	15	11	5	184
si:dkeyp-9d4.2	1995	67	235	33	37	29	11	16	22
si:dkeyp-9d4.3	6874	699	1086	4381	3665	1722	450	1058	1150
si:dkeyp-9d4.5	3111	276	556	145	249	106	23	53	201
LOC101882918	6315	331	713	1431	1542	919	217	380	571
grapb	3206	105	348	230	190	105	6	29	221
LOC103911848	2319	124	306	59	12	47	10	8	128
cacna1hb	6684	712	1329	465	722	360	69	112	462
syngr3b	3496	183	402	2181	1334	655	135	409	481
myo15ab	13778	1227	2766	1100	709	439	43	130	1050
alkbh5	1552	161	221	972	801	454	100	181	278
mief2	1528	133	235	615	379	244	40	125	162
smcr8b	3657	27	90	110	38	27	16	7	108
zgc:112980	2516	7	28	11	0	0	0	0	0
ptcd1	2439	111	257	389	137	84	38	35	262
LOC110439701	373	21	57	18	29	11	0	4	0
si:ch211-160d14.9	1750	102	277	145	0	12	4	6	5
si:ch211-160d14.6	3694	152	430	494	110	95	23	27	374
zgc:153118	1086	40	75	21	3	7	4	17	0
LOC101883376	1063	28	64	11	0	0	0	0	0
LOC103911895	801	35	111	0	0	0	0	0	0
fbxl18	2616	99	214	318	2	12	5	0	0
actb1	1683	650	184	23261	93	921	6	390	28
fscn1b	1957	83	195	721	1	8	0	0	0
abcg2b	1857	97	274	74	0	5	0	0	0
zgc:77849	1906	0	1	0	0	4	0	0	2
grin2ab	7875	4	6	36	842	459	112	232	439
si:ch73-191k20.1	939	0	0	0	0	6	1	0	0
socs1b	2878	0	1	0	8	1	4	0	0
si:ch73-191k20.4	1444	0	6	0	208	104	30	54	99
LOC103911865	653	3	9	5	78	90	5	11	160
tlr2	4289	3	0	0	43	4	1	5	68
prkcba	2879	2	3	12	1524	544	70	393	570
cacng3a	1718	2	0	0	63	24	2	4	43
si:ch211-14k19.8	3924	0	0	1	1360	455	149	173	520
ndufab1a	747	0	0	0	667	256	79	130	452
palb2	4189	2	2	0	254	99	36	26	380
LOC110439775	2024	79	173	11	1	20	0	18	90
zgc:152698	939	0	0	0	40	6	3	3	0
plk1	2344	1	0	5	0	0	0	0	0
ern2	3646	1	0	0	902	832	181	345	651
chtf18	3230	1	0	2	301	103	21	79	310
gng13a	574	0	0	0	40	22	6	20	75
si:dkeyp-57d7.4	861	2	0	0	293	119	49	125	79
zgc:136472	1710	0	0	1	302	142	23	54	179
ubn1	1357	0	0	0	0	0	0	0	0
uncx4.1	1887	157	296	826	534	213	58	163	321
LOC101883884	737	47	129	32	0	0	0	0	0
micall2b	3685	269	881	519	397	228	27	107	124
si:ch73-12o23.1	4971	287	844	1048	1329	355	136	258	429
elfn1b	3536	223	388	801	567	307	118	215	465
ugt5b5	1801	62	117	118	270	175	17	39	61
ugt5b4	2328	71	207	1019	908	276	72	118	227
ugt5b3	1840	113	195	930	495	232	55	86	166
ugt5b2	1655	77	155	486	444	192	39	69	93
ugt5b1	3436	125	283	540	529	211	48	82	356
mad1l1	2625	193	684	818	886	626	73	233	446
pmm2	1146	84	175	297	1111	504	90	140	519
zgc:56409	1815	178	442	447	437	275	45	152	355
rgs11	2033	181	499	302	367	261	32	84	134
tmem8a	6110	332	626	1607	2844	859	281	516	1702
LOC110439781	1170	79	140	47	50	1	6	8	28
pdia2	1849	259	416	3346	3096	1683	458	449	1859
si:dkeyp-75b4.8	888	60	140	8	0	12	0	1	0
LOC101884154	1025	13	65	51	80	6	1	7	2
LOC101884122	1817	16	118	49	0	0	0	3	0
si:dkeyp-75b4.9	1098	44	190	37	0	0	0	0	0
si:dkeyp-75b4.10	707	41	125	30	12	0	0	0	38
trim2b	3568	222	637	1361	865	414	87	280	700
rnf175	1556	138	335	969	667	321	84	154	222
fgb	1726	215	338	3129	3370	2437	345	655	2236
LOC100536670	956	47	155	59	11	13	10	34	0
fga	2349	216	351	3563	2672	1961	261	643	2000
lratb	3458	285	945	653	450	253	46	131	548
lratb.2	822	75	129	304	173	53	26	26	44
rbm46	2033	120	364	14	17	9	1	9	14
npy2rl	2994	145	387	251	213	105	27	55	108
eif3f	893	216	235	5862	6301	3243	1034	1270	2523
zgc:77880	1672	189	432	727	561	221	40	124	230
tmem55bb	1217	10	50	75	48	26	5	15	0
LOC557811	4303	1	0	0	0	0	0	0	0
dachb	2621	0	0	23	0	0	0	0	0
tnrc5	1617	0	0	0	0	0	0	0	0
trpc5a	5383	20	29	0	174	88	23	54	41
zgc:174945	752	4	11	0	135	8	13	0	0
si:dkey-31e10.1	1818	1	22	10	0	0	0	0	0
si:dkey-31e10.5	2727	43	122	76	8	13	7	0	106
si:dkey-31e10.6p	1433	12	39	43	51	14	0	7	0
zgc:103678	893	44	132	251	268	300	37	73	53
atp1b1b	2343	327	385	9571	10875	4989	1213	1904	4016
LOC100334711	3046	209	466	691	564	363	92	227	374
si:ch73-222h13.1	2691	198	567	129	48	49	10	15	105
crfb15	2119	93	331	51	55	64	14	7	127
dmd	11944	1019	2324	8796	6421	3629	927	1971	2654
casc5	5909	152	405	505	231	174	31	97	87
knstrn	640	56	203	150	96	75	11	19	208
sdk1b	8298	419	962	1250	1001	376	122	321	520
si:dkey-26i13.7	1315	49	181	13	12	1	6	0	29
si:dkey-26i13.6	1593	68	245	44	34	14	0	0	75
si:dkey-26i13.5	1463	36	124	0	0	16	0	2	31
si:dkey-26i13.3	1569	3	68	0	0	0	0	0	0
si:dkey-26i13.4	1485	10	60	0	0	0	0	0	0
LOC797518	2541	141	249	200	87	77	17	10	65
brat1	2704	208	614	347	213	142	35	53	165
si:dkey-26i13.8	3624	247	665	812	658	293	52	131	241
chst12b	2718	182	256	135	166	87	10	14	113
zmp:0000001069	2697	179	258	70	50	91	10	26	132
ttyh3b	2277	383	597	5924	4432	1654	532	1186	2140
iqce	3520	167	646	626	442	213	60	145	144
snx8b	2264	196	456	484	265	277	34	82	296
grk4	2903	362	715	3271	2692	1526	326	803	1869
tspan5b	2069	207	359	2031	1794	820	173	376	794
slc24a2	2909	248	503	1971	1505	726	168	366	660
saraf	2862	156	303	619	1406	888	181	401	826
pla2g12a	1545	75	209	369	1192	729	107	173	757
LOC110439783	1005	44	155	17	78	9	10	4	0
xpa	4743	221	420	594	519	139	36	79	286
mtp	3042	272	581	2513	2947	1435	380	440	1349
spink4	383	73	148	571	421	471	86	32	266
b4galt1	1220	62	220	390	437	132	34	145	269
stra6l	2725	184	576	243	173	112	34	43	167
tdrd7a	3714	314	647	132	102	40	11	35	149
tmod1	2933	224	533	650	316	203	52	119	230
cplx2l	1953	225	331	4168	2378	1962	270	682	903
gne	3553	304	577	1281	1358	588	212	322	584
nansa	1331	40	166	426	404	293	104	93	271
clta	1353	13	0	529	625	275	73	68	175
sclt1	2730	0	0	0	14	0	0	0	0
zgc:77739	1241	0	0	0	0	0	0	9	0
LOC103911926	911	3	15	0	0	0	0	0	1
pcdh10a	4607	290	489	4412	4132	1915	499	1312	1611
si:dkeyp-7b3.2	1643	128	238	35	5	14	0	5	0
si:dkeyp-106c3.2	1085	10	21	9	12	5	0	0	2
pcdh18a	4535	267	607	2192	1710	759	219	471	801
LOC101886760	821	21	74	0	0	3	0	1	0
LOC101886790	305	3	28	1	0	0	0	0	0
LOC101886839	1241	203	579	473	311	149	21	38	425
noctb	3101	0	0	0	6	0	0	0	0
elf2b	3907	5	12	139	174	80	12	20	54
mgarp	2051	79	245	404	687	287	80	134	176
hpf1	1842	91	288	465	358	118	47	100	138
ank2a	17644	1110	2672	7374	7263	3533	697	1883	2893
LOC101887098	920	4	8	10	29	8	1	0	0
camk2d2	3481	440	631	6499	5040	2025	430	1254	2390
cxcl8a	649	24	67	26	81	32	1	14	0
pde5aa	3524	255	610	557	558	393	64	78	217
ppp2r2ca	2518	247	531	2098	1357	647	169	515	803
wfs1a	3535	264	576	1156	704	466	102	184	706
crmp1	2712	331	539	1727	1290	558	129	394	347
LOC567498	2382	96	194	22	21	79	0	4	123
fip1l1b	2111	287	506	1831	1658	1061	216	544	965
LOC553528	1852	101	299	127	123	108	31	28	99
chic2	1864	164	308	1409	905	626	171	298	957
slc34a2aas	1371	65	110	26	11	24	0	0	0
slc34a2a	2608	130	286	892	1364	655	209	292	940
rbpja	5139	312	604	1414	1161	620	122	318	1020
stim2a	5710	178	519	477	360	156	68	122	208
LOC101882365	1738	28	168	36	14	2	3	9	8
si:dkey-194g4.1	3069	57	263	82	37	33	3	27	0
LOC100004921	1330	31	128	50	11	7	0	1	47
LOC110439785	376	8	17	0	1	6	0	0	0
LOC100004978	4398	89	305	84	46	38	1	27	77
LOC110437782	2604	56	173	334	405	114	33	90	309
LOC100329816	1209	5	50	0	0	5	0	0	0
LOC100332745	2404	0	5	0	0	0	0	0	0
LOC101884963	447	0	0	0	0	0	0	0	0
LOC100005071	511	17	77	8	0	0	0	3	37
LOC110438559	681	0	0	0	0	0	0	0	0
LOC108189345	2861	0	0	0	0	0	0	0	0
LOC108189470	642	0	0	0	0	0	0	0	0
LOC108189376	657	0	0	0	0	0	7	0	0
LOC110438560	2572	0	4	0	0	0	0	0	24
LOC100330143	2729	0	7	0	0	0	0	0	0
LOC108185170	1114	0	8	0	0	0	0	0	0
LOC100537170	2409	4	10	0	0	0	0	0	0
LOC100330009	1222	0	0	0	0	0	0	0	0
LOC101886102	4212	11	87	0	0	0	3	0	0
LOC100330441	1172	0	0	0	0	0	0	0	0
LOC110438568	689	0	0	0	0	0	0	0	0
LOC103911961	1653	1	19	0	0	7	0	0	0
pcdh7a	7381	540	852	6064	4406	2405	600	1174	2134
itln1	1238	104	351	52	11	7	6	8	0
hgsnat	2998	258	692	831	531	401	88	194	483
pi4k2b	2330	173	601	884	826	567	130	223	488
dlc1	9042	798	1492	4784	4204	2204	544	977	1871
sgcz	1467	114	370	206	354	93	24	85	186
tusc3	1163	162	446	1437	1250	494	111	221	775
fgf20a	1433	0	0	0	0	0	0	0	0
micu3a	2708	3	23	4	0	1	0	0	0
LOC794952	1693	5	12	35	28	13	3	1	51
vps37a	2002	2	16	40	0	20	23	4	0
LOC110439786	990	1	2	15	0	0	0	0	0
mtmr7b	2419	21	75	94	35	24	13	26	111
mtus1b	6237	165	333	1093	777	375	98	225	466
pcm1	7210	274	678	1698	1714	746	164	595	677
asah1b	1647	24	86	147	219	81	13	24	69
LOC103912018	497	0	3	0	0	0	0	0	0
LOC110439707	1104	42	136	19	21	13	0	0	57
frg1	1491	113	286	572	461	225	62	84	215
fat1a	16948	117	254	2771	2610	969	313	783	1203
casp3a	2918	0	0	0	0	0	0	0	1
acsl1a	5174	0	3	19	39	2	1	6	32
helt	951	55	186	186	98	49	10	22	22
si:ch211-197n1.2	3216	109	359	76	73	40	5	42	55
slc25a4	1415	45	36	1022	386	454	145	272	188
cfap97	2033	12	86	77	74	23	13	11	12
ankrd37	1076	2	66	19	0	0	2	0	0
ufsp2	1830	5	42	83	107	34	6	4	37
si:dkey-256e7.8	1236	3	37	0	18	0	0	3	46
pdlim3a	1506	19	49	26	15	11	2	3	39
sorbs2a	13578	223	598	1674	1250	496	141	296	810
tlr3	3161	0	0	0	2	0	0	0	0
cyp4v8	2462	0	0	3	0	0	0	0	1
LOC101885541	946	0	0	0	0	0	0	0	0
LOC101885801	256	0	0	0	0	0	0	0	0
LOC101885905	975	0	0	0	0	0	0	0	0
LOC101885961	661	38	61	0	1	5	1	5	0
mtnr1aa	1803	2	3	0	1	0	0	0	0
klhl5	2872	1	14	27	48	50	0	6	0
si:dkey-192k22.2	2587	65	276	67	43	44	6	0	0
fam114a1	2863	67	231	341	559	293	93	101	271
trnap-agg	72	11	40	3	15	0	0	0	30
klf3	3372	75	200	609	673	380	76	219	80
tbc1d1	5763	9	29	137	108	27	0	18	39
pgm2	3437	172	344	587	483	301	71	114	413
si:dkey-167i21.2	439	33	71	36	22	0	3	1	14
slc25a51a	1051	95	204	176	175	84	10	44	155
LOC100535985	873	39	218	15	42	18	5	2	0
zgc:195282	1191	80	286	61	57	40	6	17	78
rnf38	6357	514	1093	7388	5721	2894	655	1610	2322
LOC101886347	2945	34	200	29	76	37	1	9	0
limch1a	6497	782	1575	4718	3795	2062	348	961	1746
phox2ba	872	62	146	40	43	12	4	5	25
exosc9	1393	134	296	649	311	239	61	106	49
trnai-aau	74	7	21	36	0	0	1	17	49
ptpn9b	2600	277	536	1709	1431	866	141	431	545
ptprdb	12286	1015	2132	7935	6652	3024	616	1623	2795
LOC108190005	715	62	218	164	41	58	26	13	71
si:dkeyp-118a3.2	2373	209	524	575	558	487	53	93	396
tyrp1b	2005	375	319	6913	6534	3200	755	1888	2381
rbm47	8153	562	943	7495	8466	4154	1124	1523	3428
lap3	2087	158	451	429	584	312	25	207	259
clockb	4376	331	542	4259	3851	1666	286	884	1780
kitb	2930	0	0	0	0	0	0	0	0
clrn2	702	0	0	0	0	0	0	0	0
si:dkey-245p14.4	887	0	0	0	0	0	0	0	0
smc2	4073	0	0	11	0	8	0	0	0
kiaa0368	6426	3	1	136	24	88	11	53	83
fbxo10	3029	0	0	0	0	0	0	0	0
polr1e	1399	0	0	0	0	0	0	0	0
tmem192	1428	0	0	0	1	0	0	0	0
apela	864	0	0	0	0	0	0	0	0
LOC100536104	2666	0	0	0	0	0	0	0	0
march1	3325	0	0	0	0	0	0	0	0
tma16	2101	0	0	0	17	1	0	0	0
si:ch211-42i9.8	3994	2	0	85	45	50	26	25	32
zbtb5	4257	11	13	60	126	20	6	18	0
grhprb	2478	5	1	145	316	151	60	30	10
si:dkey-82j4.2	5213	2	4	10	18	0	2	4	0
apbb2b	4474	133	296	1206	992	494	96	389	202
LOC101882573	2889	112	462	64	0	7	0	10	65
mettl14	1696	37	75	115	40	4	12	25	29
prss12	3672	15	49	15	11	6	0	0	0
ndst3	4139	38	99	241	239	140	21	42	2
ugt8	5298	88	291	662	507	175	61	110	218
spock3	2661	0	4	0	0	0	0	0	0
tll1	4633	61	142	83	153	41	29	15	77
cpe	5578	87	53	480	14	415	67	252	305
msmo1	1563	7	4	6	3	0	4	15	27
klhl2	3468	8	13	6	1	1	0	1	0
LOC101882260	593	5	25	1	5	2	0	0	25
si:dkey-253i9.4	7128	0	0	0	0	0	0	0	0
npy1r	1510	0	0	0	0	0	0	0	0
med28	899	0	0	0	0	0	0	0	0
tmem144a	2026	0	0	0	0	0	0	0	0
gria2a	4947	5	15	197	29	89	13	40	21
glrba	2573	54	157	174	110	108	14	60	138
wdr19	4943	129	309	450	411	250	25	104	258
ncapd3	4462	100	453	160	218	62	7	48	210
primpol	1953	33	175	105	112	20	3	20	2
adamtsl7	2224	84	206	139	127	40	5	20	0
zcchc7	3994	148	278	993	523	401	89	126	346
LOC103908753	423	22	43	0	1	7	0	2	0
pax5	3346	202	699	572	297	168	41	83	292
melk	2571	205	673	365	187	110	21	63	166
frmpd1	7123	313	654	2360	1642	828	204	451	403
kdm4c	5032	4	0	1	0	0	0	0	0
dnah6	12532	70	220	146	115	40	11	16	151
LOC110439140	836	0	0	0	0	0	0	0	0
LOC103908754	1114	0	0	0	0	0	0	0	0
si:ch73-380n15.2	1806	4	20	0	14	0	0	4	0
chrnb3a	2123	33	70	198	172	26	6	21	35
LOC108190615	1086	50	101	48	50	68	8	14	68
chrna6	1937	1	30	0	11	6	3	0	0
chrnb2a	2792	0	0	0	0	0	0	0	0
uchl1	1090	89	338	379	376	107	37	113	198
anxa5b	1866	157	432	1492	2145	1017	197	292	630
fgfbp1b	1729	0	0	0	0	0	0	0	0
fgfbp2b	1388	0	0	0	0	1	0	0	0
zmynd10	1494	1	11	0	0	0	0	0	0
prom1b	4123	9	30	99	207	79	17	52	42
tapt1b	4027	19	68	133	392	69	19	64	34
ldb2b	4668	2	4	72	85	42	16	13	0
qdprb1	917	0	0	0	3	0	0	0	0
gtf2e2	1287	48	76	369	375	201	42	73	99
si:dkey-92j12.6	922	0	0	0	0	0	0	0	0
adgrl3.1	6926	796	1441	7091	5468	2171	651	1654	2372
si:dkey-92j12.5	6726	547	1377	1164	825	560	124	231	633
rfc1	4212	314	683	935	697	306	52	264	319
rpl9	821	544	17	41651	42396	24145	6526	7117	20828
lias	1567	0	0	7	0	0	0	0	0
ugdh	2213	0	1	0	0	0	0	0	0
LOC108190011	475	0	0	0	0	0	0	0	0
smim14	1880	0	0	0	0	0	0	0	0
ube2kb	1504	0	0	1	0	0	0	0	0
pds5a	4691	0	0	0	17	20	0	7	0
LOC108190012	621	1	0	0	0	0	0	0	0
LOC101886711	403	0	1	0	0	0	0	0	0
n4bp2	6137	0	0	15	0	1	0	0	0
rhoh	2709	2	36	0	0	0	1	0	27
chrna9	1728	25	84	41	53	0	0	0	20
LOC101886843	1178	21	156	57	7	10	17	11	24
trnar-ccg	73	0	0	0	0	0	0	0	0
trnar-ucg	73	0	0	0	0	0	0	0	0
trnar-ccg_1	73	0	0	0	0	0	0	0	0
trnar-ccg_2	73	0	0	0	0	0	0	0	0
trnar-ccg_3	73	0	0	0	0	0	0	0	0
trnar-ucg_1	73	0	0	0	0	0	0	0	0
trnaq-cug	73	0	0	0	0	0	0	0	0
trnar-ucg_2	73	0	0	0	0	0	0	0	0
trnar-ccg_4	73	0	0	0	0	0	0	0	0
trnaq-uug	73	0	0	0	0	0	0	0	0
trnar-ccg_5	73	0	0	0	0	0	0	0	0
trnar-ucg_3	73	0	0	0	0	0	0	0	0
trnar-ccg_6	73	0	0	0	0	0	0	0	0
trnar-ucg_4	73	0	0	0	0	0	0	0	0
trnaq-cug_1	73	0	0	0	0	0	0	0	0
trnastop-uca	73	0	0	0	0	0	0	0	0
trnar-ccg_7	73	0	0	0	0	0	0	0	0
trnastop-uca_1	73	0	0	0	0	0	0	0	0
LOC110439258	300	0	0	0	0	0	0	0	0
LOC110439257	763	0	0	0	0	0	0	0	0
si:dkeyp-26a9.2	2064	1	0	0	0	0	0	0	0
fam184b	4545	36	175	504	549	342	24	75	289
ncapg	3476	13	109	48	73	24	10	0	1
lcorl	6909	1	0	27	2	6	0	0	0
LOC108190619	405	0	1	0	0	0	0	0	0
LOC110439261	531	45	90	29	41	11	4	9	39
slit2	6864	625	1278	4330	3635	1594	433	968	1851
mir218a-2	88	9	16	9	30	10	2	0	0
im:7138144	10721	510	1143	3256	2944	1880	358	850	1703
LOC108190014	291	5	4	28	23	11	0	0	16
mab21l2	1814	197	191	3007	2741	1030	244	852	1032
LOC103908771	345	0	0	0	0	0	0	0	0
rps3a	1470	1	0	89	41	29	11	11	55
zgc:171517	849	0	0	0	0	0	0	0	0
qdprb2	1488	1	3	9	0	0	0	0	0
qdprb2_1	1265	0	0	0	0	0	0	0	0
sh3d19	3190	1	0	1	0	0	0	0	0
LOC103908775	742	0	0	0	0	0	0	0	0
fam160a1a	4314	143	487	814	719	321	75	183	217
gatb	2126	25	64	75	134	46	20	31	105
dctpp1	1336	14	32	61	25	13	2	8	18
LOC101882397	1124	35	142	4	0	1	3	5	3
fbxw7	6250	71	211	797	680	385	90	206	240
tmem154	3382	172	457	647	788	407	73	135	659
mnd1	2286	142	314	256	177	120	16	68	131
tmem131l	4832	457	1444	3673	3043	1897	490	869	1732
trim2a	3427	229	649	660	714	256	74	167	640
fhdc1	6827	4	0	0	0	17	0	0	1
arfip1	3660	57	173	404	424	255	50	183	245
sfrp2	3161	56	147	1177	768	325	55	182	488
LOC101882989	827	7	104	11	0	13	0	4	1
si:dkey-30k22.10	970	2	8	0	0	0	0	1	0
dchs2	11245	89	300	215	153	77	20	62	69
plrg1	2146	81	278	348	498	147	35	109	280
fgg	1574	26	61	636	673	434	121	114	483
lrata	1148	3	23	67	53	12	9	30	0
LOC101883163	1358	8	16	0	0	0	0	0	0
LOC110439814	616	7	5	0	0	0	0	1	0
LOC100537259	822	1	13	0	0	0	0	0	0
si:dkey-30k22.5	905	18	34	9	16	0	0	0	0
npy2r	1478	8	28	18	2	0	0	0	0
map9	2663	53	191	88	0	33	12	13	34
gucy1a3	2774	2	12	1	5	0	5	2	35
gucy1b3	2122	0	0	0	0	0	0	0	0
fabp2	1099	0	1	36	5	6	1	4	7
usp53b	4592	292	704	1171	1079	328	112	225	524
myoz2b	1652	100	211	663	517	176	45	72	206
synpo2b	3109	202	468	1166	847	518	95	272	196
si:ch211-145b13.5	2618	82	362	241	126	73	3	23	35
si:ch211-145b13.6	1231	71	176	117	44	61	6	11	1
