Geneid	length	WT_Pmm2_8_1	WT_Pmm2_8_4	WT_Pmm2_8_2	WT_Pmm2_8_3	Mutant_Pmm2_8_1	Mutant_Pmm2_8_2	Mutant_Pmm2_8_5	Mutant_Pmm2_8_3	Mutant_Pmm2_8_4
gart	3267	47	478	269	32	17	227	100	22	46
LOC100332351	1150	46	441	204	21	5	138	41	23	44
LOC101886071	1805	4	69	51	18	8	32	18	2	15
donson	824	23	18	11	9	2	18	3	2	3
runx1	3463	29	270	106	11	2	96	35	12	42
mir459	81	0	4	3	0	0	0	1	0	0
urp2	1056	18	60	22	9	6	24	11	4	22
LOC100333907	1022	62	249	137	16	33	119	41	16	28
atp1a1a.4	3227	1268	13830	7014	547	510	4690	1531	453	990
atp1a1a.1	3477	1676	13691	6428	834	649	7443	2933	727	1547
LOC108187381	1539	0	3	1	2	0	0	1	0	0
atp1a1a.2	3234	226	1638	984	176	103	1250	509	84	255
atp1a1a.3	3267	96	586	323	48	58	718	278	41	234
atp1a1a.5	3820	21	269	80	24	13	182	114	37	50
si:ch211-132g1.3	1297	27	228	100	9	12	213	29	10	39
LOC103911757	1079	17	76	29	10	2	25	19	7	5
si:ch211-132g1.6	973	3	3	3	8	0	15	0	0	0
si:ch211-132g1.4	1548	5	26	18	5	0	3	0	1	3
si:ch211-132g1.1	2067	26	45	40	8	1	5	3	2	12
si:ch211-132g1.7	3157	23	201	117	7	8	75	45	16	31
slc5a3a	2016	0	15	3	28	0	11	3	0	4
oxgr1a.1	1287	2	37	20	10	0	1	2	0	7
oxgr1a.3	990	2	11	10	5	0	22	3	0	0
oxgr1a.2	1017	1	7	2	3	0	0	5	0	9
mbnl2	5862	692	4618	2393	323	200	2143	898	217	614
rap2ab	552	16	383	138	2	6	70	66	14	29
kpnb3	4156	446	6796	3253	239	286	3052	1450	403	724
farp1	5695	294	2944	1338	133	107	825	332	94	202
si:ch211-235f1.3	6830	1	2	0	1	0	1	1	1	1
ggact.3	1758	0	0	0	1	0	0	0	0	0
ggact.2	2176	0	0	0	3	0	2	0	0	0
ggact.1	1724	9	17	4	0	1	11	5	0	2
gpc6a	2431	88	1115	483	52	17	227	196	33	80
LOC110439758	1539	2	3	2	0	0	1	1	0	1
gpc5a	1635	27	196	144	24	9	86	40	20	28
mir92a-1	85	0	11	14	0	3	6	7	1	2
mir19b	87	0	0	3	0	0	8	0	2	2
mir20a	153	0	9	4	0	0	4	3	0	0
mir19a	89	19	89	57	10	3	60	22	3	25
mir18a	83	10	26	8	3	8	25	2	3	2
mir17a-1	138	3	10	12	1	1	21	3	1	3
LOC103910100	1239	14	39	29	5	1	35	7	9	12
slitrk6	3890	140	1076	430	66	72	568	266	65	102
LOC101887188	1705	7	6	8	1	1	18	3	0	4
slitrk1	5295	201	2428	1147	101	69	803	348	103	218
LOC101882161	671	0	5	1	0	0	0	0	0	0
LOC103911774	1169	0	17	1	8	0	1	3	0	0
spry2	2336	205	1660	703	102	69	655	317	81	128
ndfip2	5307	336	2763	1329	165	112	1522	550	162	378
tuba8l2	1608	555	10816	3287	289	346	2780	1464	418	680
stk16	1645	64	350	136	33	12	143	72	18	40
mnx2b	1152	18	176	64	12	5	70	26	12	15
atic	1958	69	542	320	31	26	212	134	29	73
fn1b	8543	2549	21866	12689	1738	1067	10444	4598	1689	3492
cpo	1162	27	227	210	26	8	270	106	27	47
nrp2a	6341	307	2844	1275	155	114	961	463	133	232
pard3ba	8333	168	1547	634	99	66	900	341	80	255
abcb6a	5248	32	380	181	33	24	303	82	18	62
cnppd1	2347	257	2435	864	98	87	956	367	139	279
prkag3a	1721	31	257	98	13	8	85	22	14	29
retreg2	2389	132	1723	754	70	47	491	291	81	139
mdh1b	1678	2	46	23	4	0	26	5	1	9
fastkd2	2355	89	678	382	62	38	488	187	47	124
gtf3c3	2932	44	522	230	29	16	209	80	20	58
hecw2b	6797	358	3268	1625	168	96	1012	451	147	271
klf7a	2949	97	673	409	56	15	252	124	26	86
si:ch211-93g23.2	1387	28	121	37	15	18	71	19	12	18
ube2f	2387	68	423	287	41	22	278	114	18	51
erbb4a	4178	60	703	301	57	16	191	106	29	53
LOC108184914	4616	4	8	6	1	0	1	1	0	0
si:ch73-383l1.1	8432	150	1729	807	110	32	545	241	60	127
lancl1	2191	42	419	279	23	15	169	51	24	30
mylz3	965	16109	179907	87824	8057	6454	53329	29404	7275	12767
pcnp	1193	43	375	195	32	16	154	77	22	45
mxa	2677	6	116	31	6	4	68	18	6	40
mxb	2263	3	19	5	5	1	17	11	2	6
efnb2b	1005	11	184	57	17	1	25	21	4	8
arglu1b	1861	184	2472	1114	106	61	747	363	100	177
en1b	1693	70	405	196	35	11	150	66	23	42
radil	4534	44	533	253	49	8	123	59	24	43
wu:fc47e11	617	4	61	38	4	0	6	4	0	0
si:dkey-79f11.10	2835	30	47	23	19	1	39	11	7	28
si:dkey-79f11.9	1317	0	2	2	2	0	3	0	0	0
si:dkey-79f11.7	3228	52	139	131	33	20	156	58	24	60
si:dkey-79f11.5	1533	1	2	5	5	5	41	3	1	6
si:dkeyp-9d4.2	1995	2	57	42	11	4	31	28	3	7
si:dkeyp-9d4.3	6874	418	4497	2084	200	94	1110	563	142	358
si:dkeyp-9d4.5	3111	8	158	57	20	7	73	28	10	16
LOC101882918	6315	126	956	420	61	31	606	237	62	150
grapb	3206	12	146	67	11	1	32	26	12	10
LOC103911848	2319	14	15	7	10	4	3	4	1	6
cacna1hb	6684	60	549	247	68	16	280	115	36	51
syngr3b	3496	116	704	474	69	35	362	128	25	107
myo15ab	13778	129	570	251	150	14	217	89	23	78
alkbh5	1552	65	595	279	29	20	172	105	20	69
mief2	1528	39	388	157	32	10	140	64	23	28
smcr8b	3657	10	40	28	9	4	43	17	2	3
zgc:112980	2516	3	0	1	0	0	5	0	1	0
ptcd1	2439	67	251	154	14	2	86	40	5	35
LOC110439701	373	1	11	8	5	1	0	0	0	0
si:ch211-160d14.9	1750	22	114	36	21	0	0	5	1	8
si:ch211-160d14.6	3694	24	201	139	22	2	55	15	8	22
zgc:153118	1086	0	129	146	1	0	9	7	1	13
LOC101883376	1063	0	9	9	0	0	8	0	0	3
LOC103911895	801	0	1	3	1	0	0	0	0	0
fbxl18	2616	8	101	62	0	0	0	3	0	10
actb1	1683	961	8155	8934	428	27	3	9	1	376
fscn1b	1957	15	174	118	22	3	10	0	0	5
abcg2b	1857	2	41	15	4	0	0	4	0	11
zgc:77849	1906	0	0	0	1	0	1	1	0	1
grin2ab	7875	0	30	24	0	22	279	142	44	51
si:ch73-191k20.1	939	0	0	0	0	0	0	0	0	0
socs1b	2878	0	0	0	0	0	6	2	1	2
si:ch73-191k20.4	1444	1	0	1	0	5	103	29	2	17
LOC103911865	653	1	3	0	0	1	52	9	1	12
tlr2	4289	0	0	0	0	0	9	3	0	0
prkcba	2879	0	10	4	0	28	372	186	58	88
cacng3a	1718	0	0	0	0	1	38	3	1	4
si:ch211-14k19.8	3924	0	0	0	0	47	314	144	23	58
ndufab1a	747	0	0	3	0	21	172	79	15	41
palb2	4189	0	1	0	0	1	60	17	8	8
LOC110439775	2024	0	41	13	0	0	11	2	1	5
zgc:152698	939	0	0	0	0	0	0	8	0	0
plk1	2344	0	0	0	0	0	0	0	0	1
ern2	3646	0	0	0	1	38	602	280	69	120
chtf18	3230	0	1	1	0	1	56	29	4	23
gng13a	574	0	0	0	0	0	7	4	1	0
si:dkeyp-57d7.4	861	0	0	0	0	3	55	24	8	7
zgc:136472	1710	0	5	0	0	12	89	39	10	24
ubn1	1357	0	0	0	0	0	0	0	0	0
uncx4.1	1887	39	552	216	28	17	119	41	18	40
LOC101883884	737	0	11	0	0	0	0	0	0	0
micall2b	3685	29	266	113	28	8	130	43	22	36
si:ch73-12o23.1	4971	60	629	398	53	36	348	129	42	92
elfn1b	3536	64	667	375	42	16	191	148	21	47
ugt5b5	1801	40	119	55	9	1	35	16	4	11
ugt5b4	2328	38	385	231	43	20	203	70	19	35
ugt5b3	1840	65	412	236	37	12	154	61	18	51
ugt5b2	1655	29	163	117	16	4	95	54	11	44
ugt5b1	3436	68	230	145	18	16	141	25	12	37
mad1l1	2625	50	379	186	13	18	199	136	36	66
pmm2	1146	24	94	70	3	23	205	82	18	78
zgc:56409	1815	32	468	206	28	11	113	70	30	24
rgs11	2033	30	268	158	16	8	147	47	13	34
tmem8a	6110	93	919	384	88	85	734	245	65	274
LOC110439781	1170	9	20	4	11	0	0	4	1	4
pdia2	1849	273	1265	546	150	134	1059	346	57	260
si:dkeyp-75b4.8	888	5	25	9	0	0	15	6	1	3
LOC101884154	1025	1	16	2	0	0	10	0	3	3
LOC101884122	1817	13	18	2	0	0	0	1	0	0
si:dkeyp-75b4.9	1098	4	6	5	0	0	0	0	0	0
si:dkeyp-75b4.10	707	0	5	10	2	0	3	2	0	5
trim2b	3568	79	1209	506	40	25	325	147	32	62
rnf175	1556	43	417	217	24	13	162	83	27	49
fgb	1726	265	1409	907	110	134	1730	414	143	436
LOC100536670	956	4	1	2	2	0	13	2	2	0
fga	2349	202	1877	1141	161	95	1305	550	146	444
lratb	3458	54	203	107	30	8	111	43	6	31
lratb.2	822	13	71	34	7	0	34	10	4	0
rbm46	2033	0	32	6	9	2	16	3	0	5
npy2rl	2994	30	218	82	11	7	76	42	8	23
eif3f	893	394	3726	1641	210	290	2225	934	228	531
zgc:77880	1672	76	257	133	52	5	122	57	14	35
tmem55bb	1217	1	79	29	6	3	24	8	0	3
LOC557811	4303	0	0	0	0	0	0	0	0	0
dachb	2621	0	5	4	0	0	0	0	0	0
tnrc5	1617	0	2	1	0	0	0	0	0	0
trpc5a	5383	1	2	5	0	4	46	29	10	11
zgc:174945	752	0	0	0	0	0	20	4	0	1
si:dkey-31e10.1	1818	0	8	1	0	0	0	0	0	0
si:dkey-31e10.5	2727	0	18	9	7	2	14	10	1	6
si:dkey-31e10.6p	1433	1	30	14	1	0	16	2	0	2
zgc:103678	893	38	141	125	10	6	119	50	10	40
atp1b1b	2343	712	3716	2091	354	349	3230	1082	301	868
LOC100334711	3046	63	315	122	45	14	201	51	25	46
si:ch73-222h13.1	2691	8	37	18	7	1	27	13	2	10
crfb15	2119	10	46	31	4	0	14	13	1	19
dmd	11944	741	8638	4076	317	215	2702	1221	336	603
casc5	5909	25	75	63	8	2	56	25	8	17
knstrn	640	18	18	20	1	1	18	15	3	10
sdk1b	8298	70	848	457	70	23	236	134	34	52
si:dkey-26i13.7	1315	3	7	23	2	0	1	0	0	7
si:dkey-26i13.6	1593	7	20	14	5	0	9	5	2	6
si:dkey-26i13.5	1463	0	11	1	2	0	4	0	0	0
si:dkey-26i13.3	1569	3	10	0	3	0	0	0	0	0
si:dkey-26i13.4	1485	0	16	5	0	0	0	2	2	0
LOC797518	2541	15	110	47	10	11	62	18	3	26
brat1	2704	18	289	98	25	16	109	37	18	26
si:dkey-26i13.8	3624	52	609	245	40	36	294	84	20	57
chst12b	2718	22	117	47	13	7	47	16	8	32
zmp:0000001069	2697	9	104	21	7	4	19	16	1	10
ttyh3b	2277	443	3727	1715	156	129	1192	551	164	249
iqce	3520	36	360	183	24	6	157	71	20	71
snx8b	2264	47	326	135	26	7	162	52	11	35
grk4	2903	255	2113	983	102	92	1131	420	108	314
tspan5b	2069	132	920	502	90	65	526	217	62	157
slc24a2	2909	132	1243	737	77	22	324	160	44	66
saraf	2862	29	437	263	20	31	467	179	45	108
pla2g12a	1545	54	149	90	18	34	399	149	47	78
LOC110439783	1005	4	6	3	7	0	28	2	0	4
xpa	4743	26	211	133	20	8	126	42	8	19
mtp	3042	197	861	630	115	73	821	375	93	199
spink4	383	63	224	130	25	25	134	28	17	42
b4galt1	1220	28	125	48	12	4	97	48	4	14
stra6l	2725	18	105	47	18	8	131	28	14	15
tdrd7a	3714	17	34	12	12	2	21	7	10	12
tmod1	2933	35	261	99	19	10	95	49	8	33
cplx2l	1953	163	1656	898	109	54	694	313	63	157
gne	3553	87	704	420	31	48	372	193	49	71
nansa	1331	32	176	74	4	29	171	46	15	54
clta	1353	37	102	61	19	11	83	53	6	24
sclt1	2730	0	0	0	0	0	0	0	0	0
zgc:77739	1241	0	15	1	1	0	0	2	1	5
LOC103911926	911	0	0	0	0	0	0	0	0	0
pcdh10a	4607	343	4867	2080	187	123	1308	607	207	277
si:dkeyp-7b3.2	1643	3	18	8	1	0	0	0	0	0
si:dkeyp-106c3.2	1085	2	0	0	0	0	10	2	0	0
pcdh18a	4535	115	1366	531	93	55	462	230	66	120
LOC101886760	821	0	1	0	0	1	6	0	1	1
LOC101886790	305	0	3	1	0	0	7	3	0	0
LOC101886839	1241	28	166	74	33	11	158	49	7	25
noctb	3101	0	0	0	0	0	0	0	0	0
elf2b	3907	3	78	54	6	9	52	19	6	31
mgarp	2051	56	332	322	32	9	157	118	22	59
hpf1	1842	11	84	66	14	5	36	28	6	15
ank2a	17644	599	4573	2546	354	199	1882	952	232	507
LOC101887098	920	0	4	7	0	1	0	1	1	0
camk2d2	3481	453	3586	1667	235	96	1245	506	169	312
cxcl8a	649	0	24	17	3	2	7	3	8	4
pde5aa	3524	80	461	184	27	13	252	70	17	50
ppp2r2ca	2518	147	1382	794	101	46	473	205	66	136
wfs1a	3535	62	526	298	44	24	276	134	28	47
crmp1	2712	119	845	410	68	24	246	101	19	48
LOC567498	2382	7	49	6	1	0	30	1	2	5
fip1l1b	2111	117	1316	621	57	46	609	244	42	125
LOC553528	1852	15	52	34	19	4	72	14	2	12
chic2	1864	61	773	361	62	47	451	128	46	114
slc34a2aas	1371	12	19	10	2	0	13	5	4	3
slc34a2a	2608	127	391	285	51	55	487	165	57	93
rbpja	5139	108	652	373	65	30	348	147	35	113
stim2a	5710	50	251	119	27	14	81	41	9	32
LOC101882365	1738	0	12	7	4	0	0	0	1	8
si:dkey-194g4.1	3069	7	98	29	5	2	35	10	5	10
LOC100004921	1330	0	18	0	1	0	3	2	1	3
LOC110439785	376	0	5	1	1	1	1	2	1	3
LOC100004978	4398	19	96	53	5	7	21	18	3	19
LOC110437782	2604	9	149	104	23	11	104	31	7	18
LOC100329816	1209	0	2	0	0	0	0	0	0	1
LOC100332745	2404	0	0	0	0	0	0	0	0	0
LOC101884963	447	0	0	0	0	0	0	0	0	0
LOC100005071	511	0	0	1	0	0	2	0	0	0
LOC110438559	681	0	0	0	0	0	0	0	0	0
LOC108189345	2861	0	0	0	0	0	0	0	0	0
LOC108189470	642	0	0	0	0	0	0	0	0	0
LOC108189376	657	0	0	0	0	0	0	0	0	0
LOC110438560	2572	0	0	0	0	0	0	0	0	0
LOC100330143	2729	0	1	0	0	0	0	0	0	0
LOC108185170	1114	0	0	0	0	0	0	0	0	0
LOC100537170	2409	0	0	0	0	0	0	0	0	0
LOC100330009	1222	0	0	0	0	0	0	0	0	0
LOC101886102	4212	0	2	4	0	0	9	0	0	2
LOC100330441	1172	0	0	0	0	0	0	0	0	0
LOC110438568	689	0	0	0	0	0	0	0	0	0
LOC103911961	1653	0	0	0	0	0	0	0	0	0
pcdh7a	7381	535	4189	1737	191	101	1254	586	137	310
itln1	1238	0	22	1	3	0	9	6	0	1
hgsnat	2998	89	888	348	52	17	276	130	41	64
pi4k2b	2330	57	379	193	30	25	283	121	23	82
dlc1	9042	465	2290	1137	172	130	1168	506	156	334
sgcz	1467	12	168	72	13	7	76	30	11	26
tusc3	1163	94	482	222	33	23	141	104	22	81
fgf20a	1433	0	0	0	0	0	0	0	0	0
micu3a	2708	2	5	4	0	0	0	0	1	2
LOC794952	1693	3	6	4	0	0	5	1	1	3
vps37a	2002	8	93	27	6	0	10	2	3	1
LOC110439786	990	0	10	9	3	0	0	2	0	0
mtmr7b	2419	13	200	92	5	2	33	16	7	23
mtus1b	6237	97	614	329	43	31	287	101	25	87
pcm1	7210	65	1212	517	27	48	530	262	58	138
asah1b	1647	15	88	49	7	6	61	26	3	18
LOC103912018	497	0	3	0	0	0	1	1	0	1
LOC110439707	1104	2	18	15	2	0	0	1	0	0
frg1	1491	48	256	125	18	16	124	60	17	24
fat1a	16948	226	2120	1058	68	75	715	334	88	196
casp3a	2918	0	0	0	0	0	0	0	0	0
acsl1a	5174	10	16	3	0	1	7	11	2	2
helt	951	11	63	31	18	0	37	9	5	7
si:ch211-197n1.2	3216	11	31	17	15	2	56	10	3	8
slc25a4	1415	120	1536	273	46	19	462	78	13	83
cfap97	2033	0	27	21	7	0	18	4	0	2
ankrd37	1076	0	19	5	0	0	6	0	0	0
ufsp2	1830	1	79	21	7	0	20	11	0	3
si:dkey-256e7.8	1236	3	0	5	1	0	4	0	0	0
pdlim3a	1506	1	2	5	0	1	8	0	0	5
sorbs2a	13578	130	1021	572	95	36	421	193	43	125
tlr3	3161	0	0	0	0	0	0	0	0	0
cyp4v8	2462	0	0	0	0	0	0	0	0	0
LOC101885541	946	0	0	0	1	0	0	0	0	0
LOC101885801	256	0	0	0	0	0	0	0	0	0
LOC101885905	975	0	0	0	0	0	0	0	0	0
LOC101885961	661	4	6	0	0	0	3	3	0	1
mtnr1aa	1803	0	0	1	0	0	0	0	0	0
klhl5	2872	6	14	2	0	5	16	0	0	5
si:dkey-192k22.2	2587	0	20	7	0	0	15	6	2	0
fam114a1	2863	9	62	30	7	6	110	70	4	25
trnap-agg	72	0	0	1	4	0	11	0	0	0
klf3	3372	30	122	70	15	17	145	41	16	56
tbc1d1	5763	9	8	20	1	2	15	8	2	5
pgm2	3437	41	233	127	14	16	94	44	14	30
si:dkey-167i21.2	439	3	6	3	3	0	1	2	0	0
slc25a51a	1051	12	76	65	9	3	37	25	5	11
LOC100535985	873	2	19	8	1	0	12	10	3	0
zgc:195282	1191	7	19	21	9	4	17	4	7	16
rnf38	6357	600	4736	2589	254	160	1669	836	240	603
LOC101886347	2945	2	23	17	8	0	17	9	2	11
limch1a	6497	319	3267	1921	164	133	999	496	144	261
phox2ba	872	6	11	3	8	0	11	3	0	3
exosc9	1393	41	127	94	4	13	97	51	11	28
trnai-aau	74	0	18	2	1	0	8	0	0	0
ptpn9b	2600	168	1133	429	70	33	420	204	62	138
ptprdb	12286	630	5972	2782	291	143	1649	776	220	430
LOC108190005	715	16	66	16	5	0	24	10	1	13
si:dkeyp-118a3.2	2373	54	225	166	23	17	199	61	20	48
tyrp1b	2005	448	3350	1507	197	132	1370	612	140	267
rbm47	8153	509	3791	2024	298	238	2570	1036	298	672
lap3	2087	28	233	93	27	14	164	74	20	45
clockb	4376	204	2900	1333	146	127	1202	437	134	267
kitb	2930	0	0	0	0	0	0	0	0	0
clrn2	702	0	0	0	0	0	0	0	0	0
si:dkey-245p14.4	887	0	0	0	0	0	0	0	0	0
smc2	4073	0	0	0	0	0	0	0	0	0
kiaa0368	6426	7	89	51	7	4	85	28	7	25
fbxo10	3029	0	0	0	0	0	0	0	0	1
polr1e	1399	0	0	0	0	0	0	0	0	0
tmem192	1428	0	0	0	0	0	0	0	0	0
apela	864	0	0	0	0	0	0	0	0	0
LOC100536104	2666	0	0	0	0	0	0	0	0	0
march1	3325	0	0	0	0	0	0	0	0	0
tma16	2101	0	0	2	0	0	0	2	0	0
si:ch211-42i9.8	3994	4	116	23	2	2	37	12	3	9
zbtb5	4257	0	35	27	3	0	2	9	3	3
grhprb	2478	19	91	42	9	7	72	20	14	15
si:dkey-82j4.2	5213	6	5	7	2	0	5	4	1	0
apbb2b	4474	71	1009	469	29	30	355	174	43	75
LOC101882573	2889	16	42	11	4	0	11	3	1	7
mettl14	1696	4	16	14	0	0	19	13	4	4
prss12	3672	2	8	4	0	0	0	2	0	0
ndst3	4139	14	145	86	2	5	55	28	11	9
ugt8	5298	48	186	159	35	8	228	86	22	55
spock3	2661	5	3	0	0	0	0	0	0	0
tll1	4633	0	58	25	8	1	41	1	7	5
cpe	5578	110	681	163	21	47	449	107	25	61
msmo1	1563	9	28	6	0	3	13	6	2	5
klhl2	3468	0	0	0	3	0	1	0	0	0
LOC101882260	593	0	0	2	0	0	0	0	0	0
si:dkey-253i9.4	7128	0	0	0	0	0	0	0	0	0
npy1r	1510	0	2	7	0	0	0	6	0	0
med28	899	0	0	0	0	0	0	0	0	0
tmem144a	2026	0	0	0	0	0	0	0	0	0
gria2a	4947	29	122	56	4	3	63	30	4	13
glrba	2573	23	44	47	15	1	56	13	0	4
wdr19	4943	15	303	160	18	9	136	70	15	29
ncapd3	4462	23	37	49	9	1	11	13	8	27
primpol	1953	6	9	13	1	0	4	0	0	3
adamtsl7	2224	18	54	22	5	3	40	6	3	6
zcchc7	3994	57	481	194	24	27	267	100	20	48
LOC103908753	423	11	0	0	0	0	8	2	2	1
pax5	3346	33	319	163	27	3	137	71	12	28
melk	2571	6	93	69	16	3	69	8	3	25
frmpd1	7123	219	1728	824	86	62	652	259	61	162
kdm4c	5032	1	0	0	0	0	0	0	0	0
dnah6	12532	6	30	17	8	0	15	5	1	6
LOC110439140	836	0	0	0	0	0	0	0	0	0
LOC103908754	1114	0	0	0	0	0	0	0	0	0
si:ch73-380n15.2	1806	0	15	7	0	0	0	0	0	1
chrnb3a	2123	17	100	28	5	5	80	21	6	14
LOC108190615	1086	1	12	2	3	3	27	13	4	14
chrna6	1937	0	8	2	0	0	5	2	1	0
chrnb2a	2792	0	0	0	0	0	0	0	0	0
uchl1	1090	27	226	99	21	14	95	41	18	13
anxa5b	1866	104	420	261	52	40	355	122	23	75
fgfbp1b	1729	0	0	0	0	0	0	0	0	0
fgfbp2b	1388	0	0	0	0	0	0	0	0	1
zmynd10	1494	0	0	0	0	0	0	0	0	1
prom1b	4123	10	132	79	10	4	27	26	13	15
tapt1b	4027	3	69	51	5	13	42	18	8	13
ldb2b	4668	4	30	25	0	7	33	10	1	0
qdprb1	917	0	0	0	0	0	0	0	0	0
gtf2e2	1287	32	231	77	8	12	102	39	14	27
si:dkey-92j12.6	922	0	0	0	0	0	0	0	0	0
adgrl3.1	6926	452	5178	2798	264	170	1612	739	218	407
si:dkey-92j12.5	6726	171	1455	600	82	32	454	171	37	88
rfc1	4212	62	400	297	53	8	248	78	20	64
rpl9	821	3327	26027	9706	1337	2618	15060	5279	1407	3861
lias	1567	0	0	0	0	0	0	0	0	0
ugdh	2213	0	0	0	0	0	0	0	0	0
LOC108190011	475	0	0	0	0	0	0	0	0	0
smim14	1880	0	0	0	0	0	0	0	0	0
ube2kb	1504	0	0	0	0	0	0	0	0	0
pds5a	4691	0	0	0	0	0	4	0	0	0
LOC108190012	621	0	0	0	0	0	0	0	0	0
LOC101886711	403	0	0	0	0	0	0	0	0	0
n4bp2	6137	0	0	1	0	0	3	0	0	0
rhoh	2709	0	0	2	0	0	0	0	0	0
chrna9	1728	3	8	2	2	0	5	6	0	1
LOC101886843	1178	0	6	4	3	0	24	5	0	1
trnar-ccg	73	0	0	0	0	0	0	0	0	0
trnar-ucg	73	0	0	0	0	0	0	0	0	0
trnar-ccg_1	73	0	0	0	0	0	0	0	0	0
trnar-ccg_2	73	0	0	0	0	0	0	0	0	0
trnar-ccg_3	73	0	0	0	0	0	0	0	0	0
trnar-ucg_1	73	0	0	0	0	0	0	0	0	0
trnaq-cug	73	0	0	0	0	0	0	0	0	0
trnar-ucg_2	73	0	0	0	0	0	0	0	0	0
trnar-ccg_4	73	0	0	0	0	0	0	0	0	0
trnaq-uug	73	0	0	0	0	0	0	0	0	0
trnar-ccg_5	73	0	0	0	0	0	0	0	0	0
trnar-ucg_3	73	0	0	0	0	0	0	0	0	0
trnar-ccg_6	73	0	0	0	0	0	0	0	0	0
trnar-ucg_4	73	0	0	0	0	0	0	0	0	0
trnaq-cug_1	73	0	0	0	0	0	0	0	0	0
trnastop-uca	73	0	0	0	0	0	0	0	0	0
trnar-ccg_7	73	0	0	0	0	0	0	0	0	0
trnastop-uca_1	73	0	0	0	0	0	0	0	0	0
LOC110439258	300	0	0	0	0	0	0	0	0	0
LOC110439257	763	0	0	0	0	0	0	0	0	0
si:dkeyp-26a9.2	2064	0	0	0	0	0	2	0	0	0
fam184b	4545	39	233	155	18	11	91	56	7	45
ncapg	3476	4	15	11	6	0	18	2	0	0
lcorl	6909	0	5	1	0	0	0	0	0	1
LOC108190619	405	0	0	0	0	0	0	0	0	0
LOC110439261	531	1	10	0	6	2	27	9	0	4
slit2	6864	332	2248	1082	144	106	1084	408	99	233
mir218a-2	88	2	1	1	5	2	11	2	1	2
im:7138144	10721	166	1878	898	131	99	1131	399	109	308
LOC108190014	291	1	15	0	0	0	4	2	0	4
mab21l2	1814	165	2298	973	62	63	804	346	116	176
LOC103908771	345	0	0	0	0	0	0	0	0	0
rps3a	1470	7	32	17	3	0	3	9	2	5
zgc:171517	849	0	0	0	0	0	0	0	0	0
qdprb2	1488	0	1	0	0	0	0	0	0	0
qdprb2_1	1265	0	0	0	0	0	0	0	0	0
sh3d19	3190	0	0	2	0	0	4	0	0	0
