Geneid	length	WT_Pmm2_6_5	WT_Pmm2_6_3	WT_Pmm2_6_1	WT_Pmm2_6_4	Mutant_Pmm2_6_3	Mutant_Pmm2_6_2	Mutant_Pmm2_6_5	Mutant_Pmm2_6_1
LOC110439758	1539	0	5	0	2	5	1	2	0
gpc5a	1635	124	144	47	177	51	47	15	75
mir92a-1	85	17	7	8	9	3	12	7	11
mir19b	87	5	3	0	2	0	0	0	0
mir20a	153	3	0	0	0	0	0	0	0
mir19a	89	66	85	40	99	51	47	11	73
mir18a	83	8	16	4	2	15	9	1	8
mir17a-1	138	33	17	7	13	11	0	4	25
LOC103910100	1239	25	44	1	32	35	15	8	41
slitrk6	3890	519	618	245	702	361	284	86	371
LOC101887188	1705	15	11	2	5	4	9	5	10
slitrk1	5295	895	1009	568	1686	604	343	264	945
LOC101882161	671	0	0	0	0	0	0	1	0
LOC103911774	1169	0	29	4	13	15	6	3	2
spry2	2336	722	914	454	1197	475	403	99	651
ndfip2	5307	1759	1706	486	1922	914	787	343	1272
tuba8l2	1608	3797	3775	1864	4289	1684	1576	776	2791
stk16	1645	163	227	101	209	113	57	23	169
mnx2b	1152	59	80	61	97	39	48	13	84
atic	1958	260	265	151	401	284	161	56	204
fn1b	8543	14288	14598	6387	19800	6038	6333	3672	10095
cpo	1162	164	266	127	343	204	91	38	165
nrp2a	6341	1594	1641	638	2092	721	509	229	934
pard3ba	8333	569	900	344	810	493	354	146	503
abcb6a	5248	169	190	104	231	122	117	41	112
cnppd1	2347	1088	987	416	1227	578	450	216	867
prkag3a	1721	66	102	16	125	78	53	41	59
retreg2	2389	682	729	321	1000	404	327	158	437
mdh1b	1678	24	25	7	26	23	15	6	10
fastkd2	2355	325	284	207	415	305	150	101	388
gtf3c3	2932	225	259	113	384	111	84	44	197
hecw2b	6797	1523	1581	606	2009	798	624	299	1035
klf7a	2949	492	394	219	604	240	194	58	296
si:ch211-93g23.2	1387	69	54	37	74	59	42	21	62
ube2f	2387	358	282	162	374	224	153	47	213
erbb4a	4178	343	344	130	524	148	178	74	258
LOC108184914	4616	0	4	3	0	0	0	0	0
si:ch73-383l1.1	8432	758	846	313	1205	618	274	146	541
lancl1	2191	211	217	84	299	92	46	37	89
mylz3	965	119844	105321	45615	115511	44502	45866	13635	77867
pcnp	1193	312	204	103	269	147	137	87	278
mxa	2677	25	28	24	26	56	20	13	31
mxb	2263	4	9	1	27	20	8	0	4
efnb2b	1005	55	42	37	82	52	37	12	62
arglu1b	1861	1148	970	441	1195	520	532	233	794
en1b	1693	256	249	84	261	131	119	50	194
radil	4534	289	335	105	381	153	84	42	185
wu:fc47e11	617	40	47	14	56	22	0	20	52
si:dkey-79f11.10	2835	9	23	23	31	34	29	5	8
si:dkey-79f11.9	1317	0	9	4	5	16	4	0	2
si:dkey-79f11.7	3228	100	144	75	166	120	114	28	123
si:dkey-79f11.5	1533	14	18	12	2	41	5	8	13
si:dkeyp-9d4.2	1995	54	35	10	42	39	21	5	26
si:dkeyp-9d4.3	6874	2166	2177	702	2948	926	623	433	1407
si:dkeyp-9d4.5	3111	64	75	20	68	80	18	8	41
LOC101882918	6315	440	533	198	544	310	269	110	342
grapb	3206	122	91	37	94	98	30	19	58
LOC103911848	2319	7	11	2	8	44	1	5	2
cacna1hb	6684	203	284	157	374	293	50	59	227
syngr3b	3496	573	607	135	731	298	211	103	318
myo15ab	13778	299	419	164	320	361	99	125	181
alkbh5	1552	238	319	174	448	147	121	54	216
mief2	1528	212	163	93	353	97	70	36	94
smcr8b	3657	12	34	9	22	0	5	9	2
zgc:112980	2516	0	0	0	1	3	0	0	0
ptcd1	2439	139	97	66	205	78	30	24	96
LOC110439701	373	1	6	0	13	21	8	3	8
si:ch211-160d14.9	1750	72	52	24	91	26	2	38	36
si:ch211-160d14.6	3694	142	192	42	152	57	47	34	87
zgc:153118	1086	10	8	0	3	0	0	52	8
LOC101883376	1063	0	0	0	3	4	1	0	0
LOC103911895	801	6	0	0	1	9	0	6	10
fbxl18	2616	53	32	40	75	41	0	12	48
actb1	1683	5203	5588	3435	8176	3535	269	1017	6213
fscn1b	1957	237	156	73	175	122	7	38	74
abcg2b	1857	13	17	11	14	48	0	3	0
zgc:77849	1906	2	0	3	1	0	0	0	0
grin2ab	7875	27	13	2	70	12	127	3	1
si:ch73-191k20.1	939	0	0	0	0	0	0	0	0
socs1b	2878	0	0	0	0	0	2	0	0
si:ch73-191k20.4	1444	1	0	2	1	0	22	0	0
LOC103911865	653	0	0	6	0	7	12	0	0
tlr2	4289	0	0	0	0	0	0	0	0
prkcba	2879	37	12	4	64	2	230	2	2
cacng3a	1718	6	0	0	4	0	14	0	0
si:ch211-14k19.8	3924	23	2	0	5	0	202	0	3
ndufab1a	747	1	0	0	5	0	104	0	0
palb2	4189	0	1	0	0	0	22	0	0
LOC110439775	2024	14	9	2	27	32	11	4	9
zgc:152698	939	0	0	0	0	0	9	0	0
plk1	2344	0	0	0	0	0	0	0	0
ern2	3646	20	4	0	1	0	204	0	6
chtf18	3230	0	0	1	0	1	26	0	0
gng13a	574	2	0	0	0	3	6	0	0
si:dkeyp-57d7.4	861	23	0	1	0	0	13	0	0
zgc:136472	1710	0	2	0	1	1	31	0	0
ubn1	1357	0	0	0	0	0	0	0	0
uncx4.1	1887	407	260	118	344	103	97	35	230
LOC101883884	737	0	0	0	11	2	0	0	1
micall2b	3685	181	127	60	191	114	60	36	142
si:ch73-12o23.1	4971	409	359	215	371	297	184	97	241
elfn1b	3536	371	439	89	514	155	166	58	274
ugt5b5	1801	68	65	20	74	35	42	14	44
ugt5b4	2328	250	277	155	314	282	147	52	220
ugt5b3	1840	326	276	138	294	165	96	39	262
ugt5b2	1655	163	136	71	154	100	61	11	103
ugt5b1	3436	204	202	62	241	170	109	43	151
mad1l1	2625	109	198	110	221	142	157	37	134
pmm2	1146	63	76	39	61	33	90	13	62
zgc:56409	1815	221	212	46	229	155	80	26	110
rgs11	2033	169	137	66	158	136	85	29	114
tmem8a	6110	638	471	242	576	445	422	176	433
LOC110439781	1170	6	15	10	14	12	2	0	10
pdia2	1849	637	981	649	1159	799	481	207	896
si:dkeyp-75b4.8	888	4	11	2	10	4	0	2	1
LOC101884154	1025	26	12	8	7	0	4	0	5
LOC101884122	1817	7	21	0	8	14	0	3	10
si:dkeyp-75b4.9	1098	6	4	0	3	12	0	0	5
si:dkeyp-75b4.10	707	0	16	4	12	17	8	5	7
trim2b	3568	553	511	265	591	397	122	106	312
rnf175	1556	264	198	108	255	159	101	38	129
fgb	1726	982	872	630	1300	504	615	212	857
LOC100536670	956	1	5	2	3	4	4	2	3
fga	2349	1115	1042	616	1769	637	513	313	970
lratb	3458	188	160	91	183	138	85	28	101
lratb.2	822	30	31	28	127	19	22	8	33
rbm46	2033	8	12	12	31	48	1	3	12
npy2rl	2994	109	98	70	108	63	35	17	72
eif3f	893	1691	1935	1101	2619	1067	1160	501	1605
zgc:77880	1672	184	136	116	298	150	81	38	107
tmem55bb	1217	56	30	5	22	9	13	7	19
LOC557811	4303	0	9	0	0	0	0	0	0
dachb	2621	4	0	0	3	3	0	1	7
tnrc5	1617	0	0	0	0	0	0	0	0
trpc5a	5383	15	22	4	8	0	18	0	0
zgc:174945	752	0	0	0	0	0	2	0	0
si:dkey-31e10.1	1818	0	0	0	5	2	2	2	7
si:dkey-31e10.5	2727	15	16	2	11	36	2	5	0
si:dkey-31e10.6p	1433	10	1	0	19	25	4	11	9
zgc:103678	893	157	136	53	142	92	55	20	88
atp1b1b	2343	3403	3114	1038	3467	2072	1699	681	2581
LOC100334711	3046	181	196	61	299	118	35	56	168
si:ch73-222h13.1	2691	10	27	31	63	46	13	13	32
crfb15	2119	32	34	6	9	30	15	11	22
dmd	11944	4101	3954	1511	5456	1739	1307	652	2577
casc5	5909	51	83	27	124	46	23	19	47
knstrn	640	27	24	15	21	40	33	3	13
sdk1b	8298	415	521	207	648	280	223	100	314
si:dkey-26i13.7	1315	0	4	2	0	3	0	9	0
si:dkey-26i13.6	1593	0	9	0	17	10	1	8	1
si:dkey-26i13.5	1463	13	9	3	14	0	0	0	0
si:dkey-26i13.3	1569	0	13	0	0	15	0	0	7
si:dkey-26i13.4	1485	0	0	0	0	9	0	0	2
LOC797518	2541	28	43	16	42	100	27	18	43
brat1	2704	76	121	66	110	87	33	21	116
si:dkey-26i13.8	3624	317	351	97	394	224	114	69	283
chst12b	2718	64	70	42	66	88	26	5	67
zmp:0000001069	2697	42	26	13	93	51	23	14	33
ttyh3b	2277	2605	2184	705	2544	1075	824	350	1239
iqce	3520	192	174	90	251	202	99	43	107
snx8b	2264	206	213	72	262	130	46	36	132
grk4	2903	1296	1097	531	1552	740	525	277	936
tspan5b	2069	588	594	292	797	493	276	128	566
slc24a2	2909	547	794	265	1040	410	115	41	530
saraf	2862	262	240	95	326	162	251	54	149
pla2g12a	1545	106	133	54	128	69	165	25	75
LOC110439783	1005	4	26	4	7	27	8	4	5
xpa	4743	175	158	51	144	128	73	35	98
mtp	3042	615	938	596	1222	420	398	135	604
spink4	383	144	206	64	181	112	101	38	157
b4galt1	1220	40	126	26	69	49	42	16	74
stra6l	2725	22	96	30	94	72	36	19	28
tdrd7a	3714	5	19	14	14	31	2	2	14
tmod1	2933	90	126	58	165	98	67	27	128
cplx2l	1953	1534	1321	410	1426	496	480	106	634
gne	3553	301	395	251	572	188	202	68	243
nansa	1331	45	98	67	116	86	66	22	94
clta	1353	100	108	41	104	57	69	18	76
sclt1	2730	0	0	0	2	2	0	0	0
zgc:77739	1241	10	16	2	8	6	1	0	0
LOC103911926	911	0	0	1	0	0	0	0	0
pcdh10a	4607	2259	2155	1024	2981	982	782	328	1355
si:dkeyp-7b3.2	1643	16	7	5	19	16	1	6	10
si:dkeyp-106c3.2	1085	4	0	0	9	11	6	0	0
pcdh18a	4535	626	639	417	984	428	300	87	485
LOC101886760	821	0	0	0	9	0	0	5	0
LOC101886790	305	2	0	2	0	5	0	1	0
LOC101886839	1241	99	172	41	163	122	70	22	55
noctb	3101	0	0	0	0	0	0	0	0
elf2b	3907	70	29	44	78	13	33	9	23
mgarp	2051	293	321	163	439	239	155	64	284
hpf1	1842	54	73	33	70	35	38	10	36
ank2a	17644	2899	3023	1050	3923	1622	1290	504	2136
LOC101887098	920	4	0	0	5	0	19	2	6
camk2d2	3481	2814	2221	833	2538	1150	880	379	1472
cxcl8a	649	9	7	0	12	20	1	1	13
pde5aa	3524	257	282	127	408	175	98	41	162
ppp2r2ca	2518	827	835	318	1167	451	283	184	661
wfs1a	3535	354	247	91	330	248	165	47	270
crmp1	2712	540	521	323	775	214	192	76	292
LOC567498	2382	16	8	7	8	17	17	5	5
fip1l1b	2111	702	611	278	779	255	395	113	375
LOC553528	1852	17	32	30	55	29	35	14	10
chic2	1864	408	386	213	505	293	262	107	343
slc34a2aas	1371	5	47	9	20	13	7	1	2
slc34a2a	2608	221	494	111	576	256	175	40	393
rbpja	5139	438	348	231	488	322	213	106	348
stim2a	5710	100	180	61	233	99	61	35	53
LOC101882365	1738	4	5	0	3	11	0	0	4
si:dkey-194g4.1	3069	49	32	32	46	34	21	5	43
LOC100004921	1330	10	3	2	0	11	0	4	3
LOC110439785	376	0	0	2	1	0	1	0	1
LOC100004978	4398	43	48	5	33	50	20	21	31
LOC110437782	2604	124	120	64	121	80	69	18	96
LOC100329816	1209	0	0	6	0	4	0	1	3
LOC100332745	2404	0	0	0	0	0	0	0	0
LOC101884963	447	0	0	0	0	0	0	0	0
LOC100005071	511	0	0	1	0	3	0	0	0
LOC110438559	681	0	0	0	0	0	0	0	0
LOC108189345	2861	0	0	0	0	0	0	0	0
LOC108189470	642	0	0	0	0	0	0	0	0
LOC108189376	657	0	0	0	0	0	0	0	0
LOC110438560	2572	0	0	0	0	0	0	0	0
LOC100330143	2729	0	0	0	0	0	0	0	0
LOC108185170	1114	0	0	0	2	0	0	0	0
LOC100537170	2409	0	0	0	0	0	0	0	0
LOC100330009	1222	0	0	0	0	0	0	0	0
LOC101886102	4212	0	4	0	0	8	0	0	0
LOC100330441	1172	0	0	0	0	0	0	0	0
LOC110438568	689	0	0	0	0	0	0	0	0
LOC103911961	1653	0	0	0	0	0	0	0	0
pcdh7a	7381	2084	2239	916	2751	1006	715	375	1397
itln1	1238	0	9	5	3	23	0	3	1
hgsnat	2998	401	373	232	525	325	81	101	290
pi4k2b	2330	179	235	171	419	204	156	51	224
dlc1	9042	1370	1780	672	2409	829	659	318	1084
sgcz	1467	159	93	31	124	19	21	25	46
tusc3	1163	413	296	160	311	172	119	64	253
fgf20a	1433	0	0	1	0	0	0	0	0
micu3a	2708	0	6	3	6	0	0	3	6
LOC794952	1693	2	6	3	12	8	0	0	0
vps37a	2002	7	35	4	12	18	4	2	35
LOC110439786	990	0	7	1	0	2	0	1	8
mtmr7b	2419	51	56	25	62	25	23	8	69
mtus1b	6237	316	374	133	511	183	123	54	340
pcm1	7210	689	590	244	892	335	208	115	475
asah1b	1647	61	53	26	76	70	25	9	27
LOC103912018	497	0	1	0	0	1	0	0	0
LOC110439707	1104	2	3	0	3	7	1	0	9
frg1	1491	184	131	64	195	116	80	43	113
fat1a	16948	1088	1095	545	1529	603	406	186	944
casp3a	2918	0	0	0	0	0	0	0	0
acsl1a	5174	0	5	2	15	0	6	8	7
helt	951	38	44	22	65	26	4	1	23
si:ch211-197n1.2	3216	27	31	25	19	53	30	10	26
slc25a4	1415	461	736	369	795	518	115	67	587
cfap97	2033	2	16	2	37	31	5	5	18
ankrd37	1076	0	12	0	1	0	0	1	10
ufsp2	1830	16	20	0	24	47	7	2	47
si:dkey-256e7.8	1236	0	4	1	0	17	1	1	0
pdlim3a	1506	4	6	3	4	14	9	7	3
sorbs2a	13578	805	550	119	735	351	275	102	520
tlr3	3161	0	0	0	0	0	0	0	0
cyp4v8	2462	0	0	2	0	0	0	0	0
LOC101885541	946	0	0	0	0	0	0	0	0
LOC101885801	256	0	0	0	0	0	0	0	0
LOC101885905	975	0	0	0	0	0	0	0	0
LOC101885961	661	0	5	0	12	6	3	0	0
mtnr1aa	1803	0	0	0	0	0	0	0	0
klhl5	2872	6	1	10	2	0	5	0	13
si:dkey-192k22.2	2587	5	5	7	18	28	5	5	10
fam114a1	2863	29	69	32	40	58	62	8	45
trnap-agg	72	0	8	0	6	0	0	0	0
klf3	3372	85	199	43	256	25	41	25	95
tbc1d1	5763	11	8	4	21	0	17	0	10
pgm2	3437	137	139	87	243	76	102	13	79
si:dkey-167i21.2	439	2	7	0	0	0	9	0	5
slc25a51a	1051	152	102	18	90	49	24	5	54
LOC100535985	873	26	13	12	7	21	3	0	5
zgc:195282	1191	8	13	10	23	38	13	9	19
rnf38	6357	3473	2819	710	3319	1475	1389	586	1814
LOC101886347	2945	9	16	3	20	15	14	17	23
limch1a	6497	1796	1777	710	2338	834	646	347	1039
phox2ba	872	10	3	6	2	15	2	0	7
exosc9	1393	116	122	49	120	101	50	21	58
trnai-aau	74	0	2	0	13	0	0	0	0
ptpn9b	2600	464	523	281	715	440	251	86	463
ptprdb	12286	3125	3019	1041	3981	1594	1163	586	2155
LOC108190005	715	40	15	9	33	22	10	8	22
si:dkeyp-118a3.2	2373	149	158	48	273	124	110	49	154
tyrp1b	2005	1717	1906	924	2979	779	843	226	1344
rbm47	8153	2175	2780	1162	2983	1502	1250	511	1974
lap3	2087	185	126	61	219	64	73	26	102
clockb	4376	1467	1501	393	1729	717	651	245	1019
kitb	2930	0	0	0	0	0	0	0	0
clrn2	702	0	0	0	0	0	0	0	0
si:dkey-245p14.4	887	0	0	0	0	0	0	0	0
smc2	4073	0	0	1	0	0	0	0	0
kiaa0368	6426	70	8	25	48	13	10	11	21
fbxo10	3029	0	0	0	0	0	0	0	0
polr1e	1399	0	1	0	0	0	0	0	0
tmem192	1428	0	0	0	0	0	0	0	0
apela	864	0	0	0	0	0	0	0	0
LOC100536104	2666	0	0	0	0	0	0	0	0
march1	3325	0	0	0	0	0	0	0	0
tma16	2101	0	0	0	0	2	0	0	7
si:ch211-42i9.8	3994	43	30	13	25	29	8	10	19
zbtb5	4257	17	29	15	26	11	16	0	22
grhprb	2478	98	87	92	184	49	38	13	128
si:dkey-82j4.2	5213	1	14	11	14	19	4	1	3
apbb2b	4474	609	637	198	771	207	174	84	412
LOC101882573	2889	26	10	9	24	26	7	5	20
mettl14	1696	25	4	0	9	26	5	3	19
prss12	3672	5	1	3	5	11	3	1	3
ndst3	4139	95	40	31	111	54	13	13	82
ugt8	5298	87	121	73	319	126	64	31	153
spock3	2661	0	0	0	0	0	1	3	0
tll1	4633	44	25	19	37	7	6	6	19
cpe	5578	484	595	323	491	178	171	73	223
msmo1	1563	1	20	2	20	5	2	0	6
klhl2	3468	0	0	0	4	1	1	0	12
LOC101882260	593	4	4	0	6	15	0	1	7
si:dkey-253i9.4	7128	0	0	0	0	0	0	0	0
npy1r	1510	4	13	1	4	0	1	0	4
med28	899	0	0	0	0	0	0	0	0
tmem144a	2026	0	0	0	0	0	0	0	0
gria2a	4947	47	93	36	76	43	35	11	30
glrba	2573	39	69	17	49	42	12	9	51
wdr19	4943	188	142	93	200	58	46	38	125
ncapd3	4462	42	18	19	63	21	15	8	33
primpol	1953	1	10	7	19	25	9	2	6
adamtsl7	2224	47	16	12	35	1	21	1	14
zcchc7	3994	227	237	116	309	233	158	60	202
LOC103908753	423	0	8	0	1	4	0	0	8
pax5	3346	204	199	49	241	133	88	42	157
melk	2571	89	106	31	105	74	29	11	33
frmpd1	7123	1176	1039	388	1422	552	453	269	789
kdm4c	5032	0	0	0	0	0	0	1	0
dnah6	12532	4	47	10	46	36	12	6	30
LOC110439140	836	0	0	0	1	0	0	0	0
LOC103908754	1114	0	0	0	0	0	0	0	0
si:ch73-380n15.2	1806	6	7	1	2	1	0	2	12
chrnb3a	2123	87	61	23	65	62	40	12	36
LOC108190615	1086	9	18	2	24	10	15	2	4
chrna6	1937	1	0	0	4	0	0	0	4
chrnb2a	2792	0	8	0	0	4	0	0	0
uchl1	1090	134	137	91	217	73	59	11	75
anxa5b	1866	459	498	235	597	231	251	59	232
fgfbp1b	1729	0	0	0	0	0	0	0	0
fgfbp2b	1388	0	0	1	6	0	0	0	0
zmynd10	1494	0	0	0	0	0	0	0	0
prom1b	4123	48	65	13	107	13	44	14	32
tapt1b	4027	51	19	2	111	38	47	18	55
ldb2b	4668	25	24	7	36	8	22	2	10
qdprb1	917	0	0	0	0	0	0	0	0
gtf2e2	1287	90	131	96	157	105	67	21	109
si:dkey-92j12.6	922	0	0	0	0	0	0	0	0
adgrl3.1	6926	3051	3249	1073	3790	1330	1105	462	2027
si:dkey-92j12.5	6726	633	540	341	639	415	210	143	412
rfc1	4212	177	243	181	345	169	120	58	241
rpl9	821	16125	13872	7254	14615	7082	8580	3196	12856
lias	1567	0	0	0	0	0	0	0	0
ugdh	2213	0	0	0	0	0	0	0	0
LOC108190011	475	0	0	0	0	0	0	0	0
smim14	1880	0	0	0	0	0	0	0	0
ube2kb	1504	1	0	0	1	0	0	0	0
pds5a	4691	7	12	1	1	0	1	8	2
LOC108190012	621	0	0	0	0	0	0	0	0
LOC101886711	403	0	0	0	0	0	0	0	0
n4bp2	6137	0	0	0	2	0	0	0	0
rhoh	2709	0	0	0	2	0	2	1	0
chrna9	1728	0	0	0	10	0	4	0	0
LOC101886843	1178	1	3	1	8	12	0	7	6
trnar-ccg	73	0	0	0	0	0	0	0	0
trnar-ucg	73	0	0	0	0	0	0	0	0
trnar-ccg_1	73	0	0	0	0	0	0	0	0
trnar-ccg_2	73	0	0	0	0	0	0	0	0
trnar-ccg_3	73	0	0	0	0	0	0	0	0
trnar-ucg_1	73	0	0	0	0	0	0	0	0
trnaq-cug	73	0	0	0	0	0	0	0	0
trnar-ucg_2	73	0	0	0	0	0	0	0	0
trnar-ccg_4	73	0	0	0	0	0	0	0	0
trnaq-uug	73	0	0	0	0	0	0	0	0
trnar-ccg_5	73	0	0	0	0	0	0	0	0
trnar-ucg_3	73	0	0	0	0	0	0	0	0
trnar-ccg_6	73	0	0	0	0	0	0	0	0
trnar-ucg_4	73	0	0	0	0	0	0	0	0
trnaq-cug_1	73	0	0	0	0	0	0	0	0
trnastop-uca	73	0	0	0	0	0	0	0	0
trnar-ccg_7	73	0	0	0	0	0	0	0	0
trnastop-uca_1	73	0	0	0	0	0	0	0	0
LOC110439258	300	0	0	0	0	0	0	0	0
LOC110439257	763	0	0	0	0	0	0	0	0
si:dkeyp-26a9.2	2064	0	0	0	0	0	0	0	0
fam184b	4545	149	93	26	240	97	106	36	94
ncapg	3476	8	18	0	6	13	3	0	16
lcorl	6909	0	0	0	0	0	0	0	0
LOC108190619	405	0	0	0	0	0	0	0	0
LOC110439261	531	0	7	0	11	19	0	4	10
slit2	6864	1293	1460	474	1628	692	659	314	970
mir218a-2	88	13	11	0	4	17	0	4	0
im:7138144	10721	833	1117	431	1312	621	556	199	712
LOC108190014	291	8	9	4	6	11	5	0	0
mab21l2	1814	1100	1164	602	1558	387	497	150	657
LOC103908771	345	0	0	0	0	0	0	0	0
rps3a	1470	45	8	3	18	1	19	0	7
zgc:171517	849	0	0	0	0	0	0	0	0
qdprb2	1488	0	0	0	2	0	0	0	5
qdprb2_1	1265	0	0	0	0	0	0	0	0
sh3d19	3190	9	0	0	0	0	0	0	0
LOC103908775	742	0	0	0	0	0	0	0	0
fam160a1a	4314	345	324	130	365	140	124	71	280
gatb	2126	15	56	22	22	8	27	15	21
dctpp1	1336	9	6	0	9	19	9	0	18
LOC101882397	1124	2	9	3	3	13	0	0	5
fbxw7	6250	256	270	101	352	136	91	43	176
tmem154	3382	167	176	58	206	163	120	77	171
mnd1	2286	48	47	24	90	27	53	15	66
tmem131l	4832	1636	1629	588	1912	668	665	329	1220
trim2a	3427	278	320	150	488	207	107	46	211
fhdc1	6827	0	10	0	5	3	0	0	0
arfip1	3660	106	189	114	167	179	76	43	84
sfrp2	3161	89	193	46	134	150	101	32	123
LOC101882989	827	0	7	1	1	0	0	0	0
si:dkey-30k22.10	970	0	2	0	0	0	0	0	0
dchs2	11245	98	108	25	156	27	38	14	100
plrg1	2146	129	122	51	161	91	73	27	111
fgg	1574	343	232	126	379	275	157	65	253
lrata	1148	0	3	0	7	0	10	0	5
LOC101883163	1358	0	0	0	4	4	0	0	0
LOC110439814	616	0	0	0	0	4	0	0	0
LOC100537259	822	0	0	0	0	0	0	0	0
si:dkey-30k22.5	905	0	0	1	0	6	0	0	0
npy2r	1478	2	9	11	0	0	0	0	9
map9	2663	12	28	5	25	25	6	5	18
gucy1a3	2774	0	7	0	5	2	1	0	4
gucy1b3	2122	0	0	0	0	0	0	0	0
fabp2	1099	0	17	1	12	0	4	0	7
usp53b	4592	422	532	233	619	265	166	80	289
myoz2b	1652	204	195	73	149	108	71	36	130
synpo2b	3109	456	367	133	445	297	241	73	346
si:ch211-145b13.5	2618	63	78	19	62	31	35	27	37
si:ch211-145b13.6	1231	48	28	16	28	27	19	16	35
gpank1	2010	168	174	69	249	107	109	47	127
pdcd4a	2863	1684	1589	897	2210	1129	714	336	1412
mxd4	4781	637	558	246	574	332	335	201	491
ndufb6	527	312	300	106	270	174	258	55	323
toporsa	5534	188	173	78	211	122	176	39	141
